//X,Y,Z,len(points),areaXZ,densitatXZ,median nx,median ny,median nz,median diff,median m3c2,stdev nx,stdev ny,stdev nz,stdev diff,stdev m3c2,c areaXZ,c densitatXZ,c median nx,c median ny,c median nz,c median diff,c median m3c2,c stdev nx,c stdev ny,c stdev nz,c stdev diff,c stdev m3c2,outliers,outliers dens,stdev z scores,median z scores,dispX,dispY,dispZ,significant change,stdev Npoints cloud1,stdev Npoints cloud2,stdev IQR cloud1,stdev IQR cloud2,median Npoints cloud1,median Npoints cloud2,median IQR cloud1,median IQR cloud2,c significant change,c stdev Npoints cloud1,c stdev Npoints cloud2,c stdev IQR cloud1,c stdev IQR cloud2,c median Npoints cloud1,c median Npoints cloud2,c median IQR cloud1,c median IQR cloud2,label
30.79800034,76.19544983,729.11499023,342.000000,0.043982,7775.875000,-0.384750,0.774300,0.240100,0.090200,0.005200,0.371669,0.201648,0.333815,0.021404,0.002119,0.004644,73641.875000,-0.335600,0.793000,0.224700,0.104300,0.004100,0.330431,0.175363,0.280142,0.009203,0.001915,4.000000,0.011696,1.001465,-0.038306,0.003601,0.032452,0.001221,1.000000,2.503245,5.944358,0.001044,0.006413,14.000000,16.000000,0.001800,0.010300,1.000000,2.915264,4.462015,0.000785,0.005258,13.000000,14.000000,0.001800,0.008200,1.000000
28.33555031,73.42430115,730.44677734,142.000000,0.012270,11573.188477,-0.822900,0.458350,0.194750,0.072800,0.003400,0.163227,0.201562,0.276325,0.222323,0.001272,0.000450,315684.625000,-0.942600,0.075800,0.281300,0.060600,0.005200,0.044112,0.085331,0.125530,0.001210,0.001358,1.000000,0.007042,1.003540,-0.089454,-0.022349,-0.002647,0.015442,1.000000,2.136394,5.765751,0.001300,0.004161,17.000000,18.000000,0.001700,0.006300,1.000000,0.577350,10.692677,0.001852,0.005696,18.000000,22.000000,0.001900,0.012400,1.000000
25.46640015,71.45220184,728.80688477,255.000000,0.019594,13013.882813,-0.576200,0.695000,-0.082400,0.084900,0.005100,0.241100,0.168715,0.387447,0.018650,0.002543,0.002079,122659.851563,-0.488800,0.718200,0.041600,0.101300,0.005300,0.190444,0.147694,0.391127,0.011157,0.002998,0.000000,0.000000,1.001967,-0.189552,0.005501,0.014202,0.010437,1.000000,2.838845,6.342577,0.000943,0.007309,15.000000,16.000000,0.001500,0.010300,1.000000,2.397053,5.203144,0.000651,0.007818,13.000000,17.000000,0.001400,0.010900,1.000000
25.54990005,71.39759827,729.23205566,228.000000,0.037938,6009.771973,-0.298300,0.861950,0.215300,0.075650,0.003500,0.176364,0.151262,0.460243,0.018249,0.002101,0.003662,62262.621094,-0.335000,0.842500,-0.290200,0.097700,0.003800,0.211919,0.168365,0.411871,0.020632,0.001776,1.000000,0.004386,1.002200,-0.305885,0.003150,0.010098,0.009399,1.000000,2.971917,4.475459,0.001877,0.005508,12.000000,13.000000,0.001500,0.006150,1.000000,2.836442,3.933557,0.001982,0.004398,14.000000,14.000000,0.002000,0.006900,1.000000
22.36919975,68.67250061,736.46691895,227.000000,0.027551,8239.274414,-0.428600,0.825300,0.200900,0.076600,0.003500,0.183265,0.184952,0.348192,0.009398,0.002087,0.002807,80865.367188,-0.509600,0.681600,0.389250,0.081300,0.003950,0.190999,0.233147,0.334855,0.005810,0.001830,1.000000,0.004405,1.002210,0.036172,-0.003350,0.005451,0.016998,1.000000,4.228171,4.104755,0.003776,0.005604,13.000000,13.000000,0.001700,0.006300,1.000000,2.194766,3.033788,0.000983,0.004313,13.000000,12.500000,0.001900,0.006100,1.000000
16.38139915,65.34210205,744.82812500,115.000000,0.013020,8832.296875,-0.637500,0.600100,-0.355800,0.073600,0.003700,0.122850,0.176414,0.281870,0.008201,0.001335,0.000359,320688.500000,-0.613950,0.615750,-0.458700,0.077650,0.003050,0.042239,0.222479,0.369788,0.008434,0.001378,0.000000,0.000000,1.004376,-0.055912,-0.021151,0.014252,-0.004272,1.000000,2.274691,4.935016,0.000858,0.003761,14.000000,18.000000,0.001900,0.007400,1.000000,0.577350,4.041452,0.001223,0.004011,13.500000,16.500000,0.002150,0.005800,1.000000
17.86750031,68.43510437,731.51342773,106.000000,0.012802,8279.982422,-0.351400,0.844400,0.456550,0.069500,0.002500,0.222257,0.122565,0.138002,0.005233,0.001176,0.001361,77873.773438,-0.447700,0.769100,0.527150,0.074450,0.001700,0.156936,0.116798,0.129217,0.002817,0.000951,0.000000,0.000000,1.004751,0.085501,-0.011499,-0.002197,0.007202,1.000000,1.267784,2.322049,0.000498,0.002399,11.000000,11.000000,0.001100,0.004100,1.000000,0.922266,2.437495,0.000281,0.001879,10.000000,10.500000,0.001000,0.002250,1.000000
12.84494972,67.28889465,734.51013184,82.000000,0.006732,12181.138672,-0.155000,0.867750,-0.452900,0.065600,0.001900,0.132998,0.085057,0.203506,0.003532,0.001659,0.000626,131037.281250,-0.103700,0.871400,-0.468300,0.067700,0.001600,0.127085,0.069319,0.219568,0.003511,0.001449,1.000000,0.012195,1.006154,-0.069478,0.008250,-0.007751,-0.002350,1.000000,2.722900,4.190600,0.000363,0.004974,18.000000,18.000000,0.001300,0.003900,1.000000,3.042555,4.212792,0.000315,0.004760,20.000000,18.000000,0.001300,0.003300,1.000000
19.57150078,67.29419708,739.56530762,1359.000000,0.241878,5618.527832,-0.119800,0.948100,0.018700,0.086800,0.003000,0.244493,0.081769,0.279067,0.019795,0.001543,0.026566,51156.375000,-0.200600,0.956400,0.010500,0.094000,0.001500,0.109375,0.037850,0.224198,0.009379,0.000849,14.000000,0.010302,1.000368,-0.158502,-0.044399,0.003147,-0.049042,1.000000,2.882450,3.054743,0.001048,0.003404,13.000000,13.000000,0.001200,0.005100,1.000000,2.488635,3.496308,0.000406,0.002076,11.000000,12.000000,0.001000,0.002500,1.000000
16.45929909,66.20919800,741.83880615,71.000000,0.010722,6621.983887,-0.418800,0.742100,0.415700,0.069000,0.003000,0.351835,0.203367,0.184448,0.615582,0.001391,0.000850,83550.914063,-0.396950,0.744750,0.529950,0.073150,0.002450,0.102197,0.093193,0.161606,0.002722,0.000973,4.000000,0.056338,1.007118,-0.243609,0.007349,0.004448,0.010437,1.000000,1.747318,2.365582,0.001419,0.002155,11.000000,13.000000,0.001100,0.005000,1.000000,1.320009,1.521135,0.000371,0.001911,11.000000,11.000000,0.001200,0.004050,1.000000
15.74094963,66.01119995,741.59631348,484.000000,0.076422,6333.213379,-0.217750,0.884350,0.233750,0.070350,0.003250,0.296079,0.113639,0.273375,0.012966,0.001953,0.008320,58172.355469,-0.191200,0.953600,0.040400,0.075300,0.004200,0.198531,0.087130,0.314224,0.015623,0.001723,2.000000,0.004132,1.001035,-0.400373,0.020500,0.011051,-0.029388,1.000000,2.474914,3.462950,0.000644,0.004779,12.000000,13.000000,0.001500,0.005700,1.000000,2.773955,3.220041,0.000762,0.004430,12.000000,15.000000,0.001900,0.008400,1.000000
10.58430004,64.53739929,741.72113037,211.000000,0.031989,6595.942871,-0.229600,0.826000,0.489400,0.070000,0.002700,0.118867,0.093155,0.199154,0.005215,0.001131,0.003276,64404.289063,-0.240350,0.802400,0.536450,0.075900,0.002000,0.066109,0.074120,0.146995,0.001984,0.000829,0.000000,0.000000,1.002378,0.096281,0.000100,-0.012749,0.013580,1.000000,1.129766,2.045764,0.000379,0.002265,11.000000,12.000000,0.001000,0.004600,1.000000,1.234762,1.613500,0.000264,0.001556,11.000000,12.000000,0.000950,0.003350,1.000000
10.41709995,66.76490021,738.16857910,722.000000,0.078839,9157.917969,-0.507100,0.771800,0.133850,0.097800,0.004400,0.359492,0.239580,0.256482,0.029309,0.001536,0.008422,85726.109375,-0.496700,0.849800,0.082750,0.130250,0.004500,0.351099,0.263530,0.271708,0.018437,0.001276,0.000000,0.000000,1.000693,-0.164972,-0.020700,-0.000801,-0.016083,1.000000,3.134909,4.622689,0.000740,0.004146,14.000000,15.000000,0.001400,0.008400,1.000000,2.834033,3.026409,0.000828,0.003130,15.000000,13.500000,0.001700,0.008000,1.000000
11.43529987,66.48480225,739.51477051,97.000000,0.013164,7368.649902,-0.070000,0.952600,0.250900,0.079100,0.005300,0.159010,0.113540,0.267579,0.035257,0.002079,0.001251,77513.289063,-0.084700,0.873500,0.410050,0.092000,0.005600,0.201949,0.186198,0.324567,0.070968,0.001702,1.000000,0.010309,1.005195,-0.065221,-0.010300,-0.001499,0.015045,1.000000,2.099081,6.985857,0.000684,0.007219,11.000000,21.000000,0.001300,0.012000,1.000000,1.432701,7.163321,0.000644,0.006344,11.000000,24.000000,0.001150,0.014200,1.000000
10.89525032,68.71160126,731.66345215,202.000000,0.022999,8782.916992,0.225950,0.786400,0.547250,0.068550,0.002300,0.123620,0.065685,0.117756,0.010229,0.001683,0.001986,101714.617188,0.383600,0.760200,0.534600,0.083900,0.002200,0.054474,0.017209,0.036028,0.008392,0.000820,0.000000,0.000000,1.002484,-0.356125,-0.010300,-0.014248,0.017212,1.000000,2.399207,4.316972,0.000402,0.004268,15.000000,16.000000,0.001100,0.004300,1.000000,1.199473,4.774355,0.000171,0.002206,16.000000,15.000000,0.001100,0.003900,1.000000
10.56579971,69.59025574,728.90002441,988.000000,0.166780,5923.954590,0.206800,0.849400,0.334600,0.108950,0.003850,0.294237,0.142862,0.278014,0.146157,0.005706,0.017898,55202.207031,0.199300,0.865600,0.321400,0.132300,0.003800,0.252846,0.108422,0.248755,0.130320,0.010708,5.000000,0.005061,1.000506,-0.054271,0.014550,0.029552,-0.003174,1.000000,3.204105,7.664869,0.001585,0.016134,14.000000,17.000000,0.001400,0.007650,1.000000,3.104218,4.802986,0.000619,0.029122,14.000000,15.000000,0.001200,0.007300,1.000000
11.95049953,67.60890198,733.74322510,89.000000,0.013092,6797.946289,-0.147400,0.943400,0.197800,0.067100,0.002300,0.200868,0.036860,0.203541,0.005550,0.001877,0.001215,73253.445313,-0.252300,0.935900,0.241900,0.068900,0.001500,0.037554,0.028109,0.083913,0.001556,0.000420,1.000000,0.011236,1.005666,-0.207470,-0.019401,-0.000046,0.000580,1.000000,1.436607,2.117224,0.000890,0.004072,11.000000,13.000000,0.001100,0.003900,1.000000,0.774597,1.128152,0.000281,0.000908,11.000000,12.000000,0.000900,0.002400,1.000000
9.48490047,68.44750214,731.98602295,121.000000,0.017772,6808.520996,-0.506700,0.737000,0.393100,0.080000,0.006100,0.249088,0.160813,0.211900,0.016808,0.002580,0.000945,128016.437500,-0.430600,0.793200,0.461800,0.096600,0.009000,0.221425,0.119901,0.200534,0.010969,0.001914,0.000000,0.000000,1.004158,-0.092279,0.006901,0.006252,0.026550,1.000000,2.912900,7.467708,0.000572,0.008070,13.000000,22.000000,0.001300,0.014400,1.000000,2.535463,8.166072,0.000613,0.007331,13.000000,25.000000,0.001400,0.023000,1.000000
6.95695019,66.03690338,733.99621582,102.000000,0.007705,13238.345703,-0.475400,0.659000,0.560000,0.066250,0.002150,0.169713,0.145023,0.068936,0.003473,0.001011,0.000789,129283.593750,-0.400700,0.696850,0.589850,0.069700,0.001250,0.127217,0.109688,0.035011,0.001107,0.000699,0.000000,0.000000,1.004938,0.081700,0.006950,0.008804,0.000793,1.000000,2.581011,1.443023,0.000239,0.001956,12.500000,11.000000,0.001000,0.003550,1.000000,2.035630,1.367217,0.000183,0.001377,12.000000,11.000000,0.000900,0.001900,1.000000
7.57999992,67.87644958,732.20483398,204.000000,0.028021,7280.367676,-0.105150,0.743300,0.650700,0.077950,0.003000,0.202456,0.119051,0.138159,0.011973,0.001776,0.002766,73744.976563,-0.166250,0.785050,0.596100,0.089200,0.003000,0.217796,0.132987,0.164593,0.007521,0.001135,0.000000,0.000000,1.002460,-0.085986,-0.001700,0.021751,-0.002228,1.000000,1.676279,4.287921,0.000362,0.004844,11.000000,17.000000,0.001000,0.005800,1.000000,1.358038,2.851794,0.000265,0.002904,11.000000,18.000000,0.001100,0.006150,1.000000
7.01819992,67.71739960,732.32531738,213.000000,0.036598,5820.044922,-0.240100,0.756500,0.593100,0.074500,0.003000,0.111904,0.085042,0.110804,0.012878,0.000906,0.003715,57339.441406,-0.273000,0.765800,0.569900,0.096300,0.002500,0.079317,0.073758,0.105835,0.006195,0.000939,0.000000,0.000000,1.002356,-0.220495,0.004000,0.016548,-0.000793,1.000000,1.231902,3.585065,0.000462,0.002151,11.000000,14.000000,0.001000,0.005700,1.000000,1.197080,2.628955,0.000330,0.002027,11.000000,13.000000,0.001000,0.004600,1.000000
6.78915024,66.93894958,733.03137207,88.000000,0.012127,7256.570801,-0.316750,0.684050,0.622800,0.067250,0.002500,0.170670,0.091930,0.168381,0.006767,0.001529,0.001026,85780.820313,-0.427650,0.699950,0.570900,0.071250,0.002500,0.074233,0.026921,0.031952,0.003537,0.000357,1.000000,0.011364,1.005731,-0.201641,-0.016600,0.017502,0.013428,1.000000,1.387924,5.948128,0.000589,0.004823,12.000000,13.000000,0.001000,0.004600,1.000000,0.942809,1.100505,0.000231,0.000732,11.000000,12.000000,0.001200,0.004400,1.000000
8.80364990,69.47105408,729.27465820,92.000000,0.012545,7333.666992,0.134750,0.832300,0.493250,0.064150,0.002400,0.218055,0.112237,0.155482,0.003509,0.001782,0.000322,286127.687500,0.268450,0.891300,0.345250,0.065400,0.003050,0.058396,0.019623,0.048232,0.003109,0.001383,0.000000,0.000000,1.005479,-0.136100,0.019300,0.013351,-0.022064,1.000000,2.514174,4.263199,0.000506,0.004804,14.000000,14.000000,0.001200,0.004500,1.000000,2.645751,1.258306,0.000173,0.002841,11.000000,13.000000,0.001150,0.005400,1.000000
7.98470020,68.33654785,731.45117188,82.000000,0.011994,6836.776367,-0.448900,0.558000,0.593650,0.080400,0.004800,0.496894,0.191632,0.428254,0.010443,0.014647,0.000246,333170.906250,0.062550,0.782150,0.225850,0.092550,0.006400,0.473846,0.128299,0.384114,0.015072,0.001162,0.000000,0.000000,1.006154,-0.089769,-0.026200,0.002804,0.028290,0.975610,6.354633,14.267717,0.005764,0.077950,18.500000,16.000000,0.005850,0.007150,1.000000,4.082483,5.315073,0.001499,0.004715,16.000000,17.000000,0.006950,0.010950,1.000000
6.94530010,68.61350250,730.83807373,331.000000,0.054805,6039.625000,0.105600,0.892500,0.422300,0.070100,0.002400,0.152962,0.070882,0.227135,0.006241,0.001091,0.005341,61968.308594,0.090000,0.816600,0.572000,0.071650,0.001950,0.050399,0.029860,0.053482,0.005362,0.000952,1.000000,0.003021,1.001514,-0.054976,0.021500,0.001755,0.026978,1.000000,1.952836,2.458268,0.000410,0.002293,11.000000,11.000000,0.001000,0.003800,1.000000,1.237054,1.722246,0.000262,0.001810,10.000000,12.000000,0.000900,0.003000,1.000000
3.79605007,67.86375427,728.89465332,3306.000000,0.494925,6679.803223,-0.494700,0.843950,0.032150,0.126300,0.003400,0.244222,0.157464,0.210873,0.037474,0.002191,0.054342,60836.628906,-0.479800,0.858900,0.086700,0.147900,0.002500,0.149312,0.103692,0.205415,0.029160,0.001017,10.000000,0.003025,1.000151,0.020438,0.000650,0.074699,0.014404,1.000000,3.060282,6.177375,0.000475,0.006561,13.000000,15.000000,0.001200,0.006400,1.000000,3.146503,3.711895,0.000546,0.002574,13.000000,16.000000,0.001200,0.004700,1.000000
4.73099995,68.10489655,730.59252930,307.000000,0.033784,9087.035156,-0.482700,0.585300,0.612600,0.081900,0.003800,0.202783,0.199059,0.214151,0.034465,0.001565,0.003574,85889.226563,-0.541600,0.433800,0.711600,0.095000,0.003100,0.135511,0.167137,0.082704,0.008519,0.001548,2.000000,0.006515,1.001633,-0.062669,-0.002500,-0.002155,0.021179,1.000000,2.857203,4.974607,0.000448,0.004384,13.000000,15.000000,0.001000,0.007200,1.000000,2.560204,4.252548,0.000209,0.003467,16.000000,14.000000,0.001000,0.005500,1.000000
-3.01889992,63.63845062,731.47216797,46.000000,0.003782,12164.000000,-0.338550,0.873600,0.294550,0.063350,0.002950,0.134776,0.075536,0.146384,0.002547,0.001165,0.000226,203691.984375,-0.372500,0.887100,0.256300,0.065800,0.002400,0.016925,0.010944,0.028396,0.002650,0.000907,0.000000,0.000000,1.011050,-0.197619,-0.001000,0.007801,-0.013184,1.000000,1.440779,2.461295,0.000461,0.002698,12.000000,14.000000,0.001350,0.005650,1.000000,0.000000,1.732051,0.000100,0.001850,13.000000,15.000000,0.001300,0.004000,1.000000
-3.87249994,63.37419891,731.96997070,271.000000,0.027745,9767.356445,0.223400,0.699800,0.674000,0.071300,0.002700,0.160382,0.139241,0.209259,0.041619,nan,0.002905,93275.679688,0.182400,0.668700,0.717000,0.074300,0.001700,0.082025,0.045807,0.047610,0.008136,nan,6.000000,0.022140,1.001850,-0.168254,0.001250,-0.009951,0.015869,0.996310,2.227384,4.636292,0.000562,0.003735,17.000000,16.000000,0.001100,0.003800,0.985507,1.464121,3.994882,0.000240,0.001815,17.000000,14.000000,0.001000,0.003100,1.000000
-3.53940010,62.86360168,733.38262939,55.000000,0.006384,8614.796875,0.038400,0.856100,-0.129600,0.067200,0.005200,0.303995,0.098374,0.400642,0.008304,0.002359,0.000268,204906.984375,0.008150,0.745000,-0.589600,0.077750,0.006750,0.348941,0.069926,0.279937,0.009219,0.001390,0.000000,0.000000,1.009217,-0.285699,0.008000,-0.000698,0.019165,1.000000,2.828784,4.810062,0.001401,0.006172,16.000000,14.000000,0.002800,0.009400,1.000000,1.807721,4.472136,0.000711,0.004735,17.500000,18.000000,0.003750,0.014100,1.000000
12.31970024,63.13349915,744.97351074,2794.000000,0.521943,5353.072266,-0.611200,0.660850,0.134650,0.079600,0.003000,0.260308,0.240411,0.335646,0.018438,0.003604,0.056800,49189.750000,-0.698050,0.621600,0.138550,0.079200,0.002700,0.161520,0.165153,0.328685,0.011513,0.001438,16.000000,0.005727,1.000179,-0.219014,-0.063100,-0.072950,0.026672,1.000000,3.171106,5.117586,0.001170,0.015876,15.000000,14.000000,0.001500,0.005200,1.000000,2.849590,4.276848,0.000879,0.003522,14.500000,14.000000,0.001500,0.004700,1.000000
12.69400024,63.35865021,745.24414063,254.000000,0.025254,10057.859375,-0.667700,0.644550,-0.069500,0.069650,0.004100,0.299275,0.248192,0.341367,0.010586,0.008744,0.002381,106697.179688,-0.680100,0.712050,-0.385800,0.071700,0.005300,0.354150,0.287115,0.283854,0.016606,0.002858,6.000000,0.023622,1.001974,-0.271280,0.026400,0.006800,0.001892,1.000000,2.835878,6.570931,0.000698,0.022158,16.000000,16.000000,0.001950,0.007650,1.000000,2.211822,7.857748,0.000739,0.009669,15.000000,13.500000,0.002050,0.009500,1.000000
11.34220028,62.85779953,744.22900391,119.000000,0.016499,7212.619629,-0.239600,0.895000,0.380200,0.066200,0.002700,0.110493,0.041577,0.135649,0.004763,0.001010,0.001260,94479.843750,-0.264000,0.860800,0.427550,0.072400,0.002750,0.024455,0.013563,0.030061,0.004900,0.000762,0.000000,0.000000,1.004228,-0.160181,-0.016150,0.010050,0.024048,1.000000,1.051040,1.770439,0.000284,0.002024,11.000000,12.000000,0.000900,0.004700,1.000000,1.044466,1.912875,0.000198,0.001232,11.000000,11.500000,0.000900,0.004050,1.000000
11.71630001,62.85359955,744.66271973,207.000000,0.040730,5082.213379,-0.272100,0.938200,0.077400,0.070400,0.003000,0.205191,0.082852,0.185756,0.005852,0.001461,0.004355,47535.531250,-0.214600,0.966500,0.009000,0.071200,0.002700,0.183266,0.043342,0.150363,0.004897,0.001574,0.000000,0.000000,1.002424,-0.005793,0.015650,0.009649,-0.013336,1.000000,2.042407,4.350951,0.000437,0.003800,11.000000,13.000000,0.001100,0.005700,1.000000,1.566296,3.922822,0.000414,0.003632,11.000000,12.000000,0.001200,0.004200,1.000000
