//X,Y,Z,len(points),areaXZ,densitatXZ,median nx,median ny,median nz,median diff,median m3c2,stdev nx,stdev ny,stdev nz,stdev diff,stdev m3c2,c areaXZ,c densitatXZ,c median nx,c median ny,c median nz,c median diff,c median m3c2,c stdev nx,c stdev ny,c stdev nz,c stdev diff,c stdev m3c2,outliers,outliers dens,stdev z scores,median z scores,dispX,dispY,dispZ,significant change,stdev Npoints cloud1,stdev Npoints cloud2,stdev IQR cloud1,stdev IQR cloud2,median Npoints cloud1,median Npoints cloud2,median IQR cloud1,median IQR cloud2,c significant change,c stdev Npoints cloud1,c stdev Npoints cloud2,c stdev IQR cloud1,c stdev IQR cloud2,c median Npoints cloud1,c median Npoints cloud2,c median IQR cloud1,c median IQR cloud2,label
24.27179909,71.19100189,728.0651856,227,0.063152,3594.482666,-0.2195,0.654,-0.3557,0.0778,0.0057,0.274348,0.235667,0.614573,0.037365,0.009693,0.006307,35991.43359,-0.282,0.67,0.5177,0.0824,0.0057,0.21881,0.161691,0.610219,0.018018,0.010306,2,0.008811,1.00221,-0.207699,-0.0116,-0.006348,-0.03479,0.995595,3.944905,35.664906,0.003202,0.056907,16,15,0.0027,0.0095,1,4.286504,57.057224,0.004116,0.081519,14,14,0.0017,0.0108,0
23.55450058,70.83050537,727.7448731,72,0.019451,3701.533691,-0.2154,0.50355,0.42315,0.0704,0.0081,0.354575,0.219656,0.695787,0.040808,0.01367,0.000357,201800.6094,-0.5643,0.31775,-0.25705,0.07185,0.0076,0.424209,0.341011,0.378643,0.009701,0.021127,1,0.013889,1.007018,-0.242931,0.034801,-0.014698,0.04129,1,3.571207,46.439182,0.002817,0.084072,16,22.5,0.0034,0.0178,1,3.366502,143.207016,0.002493,0.210507,14.5,17,0.00415,0.01545,0
23.14635086,70.62210083,727.6887207,72,0.019862,3625.064209,-0.5586,0.60895,0.2415,0.06865,0.00485,0.304398,0.267993,0.4552,0.016778,0.016151,0.000546,131847.3438,-0.7128,0.4133,0.4427,0.0656,0.0042,0.237924,0.210934,0.246416,0.007008,0.002084,2,0.027778,1.007018,-0.266832,0.022599,0.004204,-0.013275,1,3.403229,11.446677,0.001792,0.06388,17,14,0.0026,0.0085,1,3.059562,5.129249,0.001352,0.005588,17,14,0.0018,0.00815,0
23.40299988,70.65059662,728.1130981,275,0.050327,5464.210449,-0.1111,0.5663,0.662,0.1289,0.0066,0.399631,0.208772,0.508838,0.045447,0.013506,0.005079,54148.23828,-0.1043,0.6019,0.689,0.1276,0.0064,0.320209,0.179895,0.514498,0.022416,0.008552,0,0,1.001823,-0.000601,0.01025,0.001896,-0.006256,0.989091,3.896409,41.906605,0.00367,0.074168,15,18,0.0016,0.0139,1,2.649487,53.918224,0.001647,0.077415,15,17,0.0014,0.0133,0
23.73469925,70.83280182,728.1760254,225,0.049522,4543.410156,-0.2375,0.6243,-0.0391,0.1078,0.0054,0.420587,0.304212,0.556578,0.040906,nan,0.005241,42927.10156,-0.3344,0.7981,0.0468,0.0932,0.0061,0.400372,0.310483,0.425601,0.020746,0.006341,3,0.013333,1.00223,-0.244314,0.010249,-0.002396,-0.002014,0.995556,3.658796,12.117313,0.002993,0.02662,16,15,0.0039,0.0119,1,3.346441,6.028521,0.002738,0.015908,16,16,0.0046,0.0097,0
13.61445045,72.0039978,719.7277832,58,0.01158,5008.827148,-0.47415,0.3031,0.7518,0.06975,0.00535,0.475003,0.27046,0.613582,0.090667,0.024069,0.000866,66939.71094,-0.1859,0.3786,0.33225,0.0776,0.00555,0.488804,0.337893,0.700009,0.010639,0.040423,2,0.034483,1.008734,-0.268553,-0.0012,0.007652,-0.013092,0.982759,3.055842,13.959538,0.003123,0.060502,16,13.5,0.0018,0.0096,0.928571,3.103525,7.346974,0.00255,0.080008,14,14.5,0.00185,0.0096,0
12.84700012,72.03340149,719.7888184,145,0.056146,2582.560303,-0.2063,0.6039,0.0901,0.106,0.0065,0.602214,0.22736,0.500056,0.032601,0.009345,0.005068,28613.22852,0.0768,0.7497,-0.1459,0.0926,0.0049,0.541686,0.116434,0.357958,0.01413,0.002043,0,0,1.003466,-0.072513,-0.0201,0.003952,-0.011353,1,3.52037,19.363314,0.002748,0.045406,15,20,0.004,0.0135,1,3.035873,3.894258,0.002154,0.005124,16,18,0.0037,0.009,0
13.31285,69.98600006,727.8276978,88,0.008426,10443.49023,0.12125,0.77135,0.5575,0.0727,nan,0.264488,0.175801,0.269081,0.011414,nan,0.000582,151099.4219,0.2765,0.80345,0.50895,0.0773,0.0048,0.244552,0.199388,0.284948,0.010335,0.001378,0,0,1.005731,-0.275757,-0.00245,-0.010601,0,0.977273,3.470054,8.514777,0.001945,0.007693,17,17,0.003,0.00675,1,4.420233,9.271544,0.002727,0.006067,17.5,20.5,0.00385,0.00745,0
13.47299957,69.86389923,728.2305298,53,0.012082,4386.792969,-0.0587,0.9454,0.2333,0.065,0.0038,0.2872,0.135438,0.296892,0.007629,0.001711,0.000239,221699.2656,0.1295,0.9491,0.2333,0.0749,0.0029,0.243283,0.01775,0.033796,0.003664,0.001079,0,0,1.00957,-0.407985,-0.001,-0.001251,0.019714,1,2.591294,5.809943,0.002338,0.005243,14,16,0.0034,0.0062,1,3.21455,4.041452,0.001779,0.00257,10,20,0.001,0.0058,0
13.7276001,70.25019836,726.7108765,61,0.013189,4624.989258,-0.1623,0.6754,0.7144,0.0747,0.0037,0.117006,0.102629,0.108253,0.00882,0.002059,0.000944,64643.40234,-0.1583,0.6534,0.7408,0.0839,0.0028,0.063072,0.070363,0.083137,0.006474,0.002242,0,0,1.008299,-0.032609,-0.00695,0.005501,0.005646,1,2.069027,7.376488,0.000341,0.00646,12,20,0.001,0.008,1,1.454058,3.255764,0.000292,0.005763,11,18,0.001,0.0062,0
